Chr	Start	End	Tags	length-ATAC-union	CoefOfVar_(SD/Mean)_ATAC_union	CoefOfVar_K27_500-600bp_union	Drop_(Max-Min/Max)_K27_500-600bp_union	CoefOfVar_Q1Q3_(SD/Mean)_ATAC_union	CoefOfVar_Q1Q3_K27_500-600_union	Min_ATAC_union	Max_ATAC_union	TotalN_ATAC_peaks_called	CoefOfVar_K27_500bp_union	CoefOfVar_K27_500-300bp_union	CoefOfVar_Q1Q3_K27_500_union	CoefOfVar_Q1Q3_K27_500-300_union	Drop_(Max-Min/Max)_K27_500bp_union	Drop_(Max-Min/Max)_K27_500-300bp_union	Max_K27_500-300bp_union	Max_K27_500bp_union	Max_K27_500-600bp_union	Mean_K27_500bp_union	Mean_K27_500-300bp_union	Mean_K27_500-600bp_union	Min_K27_500-300bp_union	Min_K27_500-600bp_union	Min_K27_500bp_union	SD_K27_500-300bp_union	SD_K27_500-600bp_union	SD_K27_500bp_union	Mean_ATAC_union	Max-Mean_ATAC_union	SD_ATAC_union	start-500	end-500	start-500-300	end-500-300	start-500-600	end-500-600	Mean/SD_K27_500-600bp
chr2	8324191	8325084		893	0.4340706966	0.8666823366	0.9828683619	0.5136265509	0.8998859606	1.49752	9.86895	50	0.8883185004	0.8750038146	0.9146625068	0.9050004471	0.9886645217	0.9860676483	709.624248	606.743556	775.0477102	172.440990288	206.853031068	225.849629384	9.8867346	13.2778369	6.8777284	180.9971912385	195.7398845117	153.1825218968	4.6015612	5.2673888	1.9974028757	8324138	8325138	8323838	8325438	8323538	8325738	1.1538252919
chr1	116131646	116132566		920	0.3926392129	0.7126557377	0.9828350588	0.4516019308	0.7549708484	1.53667	7.23674	50	0.7343936113	0.7280507304	0.7731454493	0.7688049398	0.9791609717	0.9831374779	6086.50094	3951.55199	7154.32702	1087.918005916	1679.684887836	2015.335380552	102.6337568	122.8036026	82.3465038	1222.8958093847	1436.2403223777	798.9600331378	3.51768	3.71906	1.3811791065	116131606	116132606	116131306	116132906	116131006	116133206	1.4032020611
chr10	4941311	4942213		902	0.3992978445	0.7677182777	0.9827636704	0.4630212998	0.8296229757	1.45434	6.63147	50	0.7314659991	0.756432274	0.7962703542	0.8197599688	0.9773824653	0.9813600237	3265.77975	1923.47657	3866.7605	530.376111	836.805975862	962.679135172	60.8740571	66.6487586	43.504298	632.9870472358	739.0663676733	387.952091907	3.5834396	3.0480304	1.4308597081	4941262	4942262	4940962	4942562	4940662	4942862	1.3025611464
chr10	6195781	6197037		1256	0.3330803472	1.2233927521	0.9827150912	0.3810405611	1.1917876586	0.513668	2.59441	60	1.31167156	1.2533489489	1.2610642056	1.2154919743	0.990694069	0.9863477189	333.7383737	269.5108	353.1058092	38.145981128	51.053838772	56.379848198	4.5562901	6.1034017	2.5080489	63.9882751646	68.9746976486	50.0349985734	1.35217372	1.24223628	0.4503824921	6195909	6196909	6195609	6197209	6195309	6197509	0.8173989901
chr11	47609369	47610318		949	0.3536141161	0.8596445501	0.982708216	0.4161925838	0.9305054361	1.30863	7.93585	50	1.0196100153	0.932554164	1.0989059015	1.0077079996	0.98915524	0.9879586542	86.7860964	77.089516	89.4431654	10.7362713	13.28743093	14.699413324	1.0450214	1.5466319	0.8360173	12.3912490428	12.6362705533	10.9468097449	3.8071264	4.1287236	1.346253637	47609344	47610344	47609044	47610644	47608744	47610944	1.1632714939
chr9	73149110	73150044		934	0.489036598	1.4394874224	0.9826181375	0.5590051729	1.3443894907	0.566911	4.33295	41	1.543491198	1.4821711616	1.4120876478	1.3694305918	0.9918981619	0.9886648808	354.6620414	315.590582	368.174372	44.729294096	52.383938598	56.135297106	4.0201365	6.3995563	2.5568638	77.6419631187	80.8060541371	69.0392717288	1.62710742	2.70584258	0.7957150773	73149077	73150077	73148777	73150377	73148477	73150677	0.6946917246
chr3	100354544	100355470		926	0.4302623645	1.1273174343	0.9825869205	0.4955267665	1.2196419105	1.08428	7.83411	49	1.1566987014	1.1581984179	1.2621155323	1.2551633217	0.9856883637	0.9853347588	477.973182	388.281752	489.932041	51.870995268	63.070833448	66.797656418	7.009592	8.5312256	5.5569472	73.048539516	75.3021626535	59.9991128646	3.441117	4.392993	1.480583137	100354507	100355507	100354207	100355807	100353907	100356107	0.8870615938
chr15	84229734	84230609		875	0.3142826277	0.5909734069	0.9824657575	0.373738856	0.6637187653	2.77625	12.8241	50	0.5965119025	0.5879312804	0.6666036458	0.6575680187	0.9853718211	0.9819132301	348.9591577	303.013372	368.1985741	82.019195832	94.784846462	98.228262216	6.311544	6.4560831	4.4325338	55.7269761392	58.0502907805	48.9254265445	7.1672916	5.6568084	2.2525552375	84229672	84230672	84229372	84230972	84229072	84231272	1.6921235173
chr2	45748104	45748994		890	0.4582395016	1.2613744742	0.982390819	0.5237170503	1.2549591269	0.54002	3.84979	44	1.2460669683	1.2896767211	1.2193105376	1.2734133043	0.9798046765	0.985010021	269.803453	173.997792	317.525642	21.840406406	32.3039626	39.439488904	4.0443481	5.5913665	3.5139417	41.6616685644	49.7479645789	27.2146089973	1.61333152	2.23645848	0.7392922316	45748049	45749049	45747749	45749349	45747449	45749649	0.7927859811
chr11	95835752	95836668		916	0.3553759812	1.0468349686	0.9823802289	0.4147223861	1.1096855	0.661415	3.14378	46	1.1036613986	1.0227429912	1.1580498357	1.0975864595	0.983491914	0.9803054416	259.489707	228.566685	341.443039	35.193201448	43.398557276	54.235488322	5.1105352	6.0161482	3.7731985	44.3855702811	56.7756057119	38.8413779315	1.78576552	1.35801448	0.6346181739	95835710	95836710	95835410	95837010	95835110	95837310	0.9552604088
chr12	105919794	105920903		1109	0.448872762	0.9742515896	0.9823462806	0.5166756754	0.9231371451	0.532949	4.92484	49	0.9729232638	0.9707102523	0.9176522324	0.9192770705	0.9814849692	0.9819470082	2278.049691	1473.245801	2486.461599	410.834184328	609.23240525	667.30374054	41.1256124	43.8952954	27.2771914	591.3881418033	650.1217299418	399.7101354979	1.85195964	3.07288036	0.8312942387	105919848	105920848	105919548	105921148	105919248	105921448	1.0264289129
chr3	146554023	146554971		948	0.5210804838	0.964876986	0.9818831027	0.5829710633	1.022692801	0.50342	3.32414	41	1.0060712705	0.9880462872	1.0668652592	1.0466403048	0.9844647778	0.9833074625	256.8810041	241.9031249	265.9380756	39.169159826	42.619959148	44.87380126	4.2879958	4.8179728	3.7580188	42.1104923969	43.2976981107	39.4069663916	1.59202106	1.73211894	0.8295711042	146553997	146554997	146553697	146555297	146553397	146555597	1.036401546
chr3	139221717	139222640		923	0.4093830915	1.1141221195	0.9818799822	0.468981288	1.0866366352	0.5856	4.81407	49	1.0912442929	1.1429092263	1.0540619206	1.1104897157	0.9809509687	0.9838796084	344.403519	247.736015	361.1107485	42.227153068	51.651426374	55.562728328	5.5519196	6.5433332	4.7191311	59.0328917537	61.9036646487	46.0801397888	1.9144433	2.8996267	0.7837407167	139221678	139222678	139221378	139222978	139221078	139223278	0.8975676746
chr4	153058139	153059063		924	0.4379005014	1.1982761633	0.9818440635	0.5048058345	1.2278762132	1.49689	9.10588	50	1.2451786119	1.2001610563	1.2654581265	1.2271314592	0.9825744056	0.9824768833	942.396869	637.524066	1060.929742	77.405619892	119.45575907	133.712366372	16.5137303	19.262173	11.1092358	143.3661499913	160.2243413624	96.3838223302	3.9126564	5.1932236	1.7133541993	153058101	153059101	153057801	153059401	153057501	153059701	0.8345321643
chr4	165348438	165349361		923	0.4207898124	1.2521057111	0.981719148	0.4843449027	1.3123893841	1.42726	7.75296	50	1.2926037772	1.2729586443	1.3324860879	1.3295049247	0.9822710185	0.9824102382	1066.809453	884.501626	1119.047933	112.433855634	135.587037932	144.723199454	18.7649242	20.4571497	15.681313	172.5966919964	181.2087445653	145.3324264743	3.8493616	3.9035984	1.6197721454	165348400	165349400	165348100	165349700	165347800	165350000	0.7986546113
chr9	116156471	116157382		911	0.3963095683	0.9557282002	0.9817183264	0.4640887918	0.9920010029	1.05926	5.66729	49	0.9835188508	0.9629936914	1.0201327214	1.0028766796	0.9801630689	0.9813351126	1373.525977	1061.841339	1441.481147	197.312701266	267.791729122	287.256696504	25.6367077	26.3526878	21.0636735	257.8817457567	274.5393255318	194.0607611978	2.732125	2.935165	1.0827672792	116156426	116157426	116156126	116157726	116155826	116158026	1.046322584
chr7	31170866	31171753		887	0.5095967794	0.772189054	0.9816272458	0.5727754908	0.8684649282	0.6263	5.11988	45	0.8102911873	0.78731828	0.9069519843	0.8851892047	0.9830686493	0.9816475678	240.532446	192.767001	256.8805494	53.444745462	70.699309892	76.312007062	4.4143554	4.7196032	3.2638057	55.6628590642	58.9272965397	43.3058062578	2.11791616	3.00196384	1.0792832542	31170810	31171810	31170510	31172110	31170210	31172410	1.2950196521
chrX	130179334	130180242		908	0.3806887909	1.0639972602	0.9815700639	0.4420421036	1.1104796977	1.08412	5.02583	50	1.0496700976	1.0755940708	1.0868565321	1.1212266088	0.9858851782	0.983071066	377.7868878	299.1100248	383.3080728	47.273303644	56.560102862	58.057384646	6.3955293	7.0643433	4.2218847	60.8357112836	61.772898198	49.6213732477	2.6785464	2.3472836	1.0196925905	130179288	130180288	130178988	130180588	130178688	130180888	0.9398520442
chr6	31271152	31272515		1363	0.3739544258	0.9452881224	0.9814940445	0.4280946291	0.9792320539	1.57148	7.54218	59	0.9584747545	0.9489638981	0.9907418001	0.9829639944	0.9824600287	0.9818349862	5562.607155	4916.110499	5596.272647	1047.231662828	1172.607635474	1184.831220624	101.0448358	103.5643723	86.2284373	1112.7623127298	1120.0068798487	1003.7451108976	4.2291582	3.3130218	1.5815124264	31271334	31272334	31271034	31272634	31270734	31272934	1.0578785202
chr8	53492310	53493243		933	0.3960195408	0.6814170904	0.9814212456	0.4607044739	0.7600134274	0.819143	6.17881	50	0.6844780035	0.6785529738	0.7685033324	0.7577415196	0.9794012163	0.9811431678	6087.804654	3836.913004	7543.873349	892.719227774	1424.316827974	1773.90337208	114.796711	140.1557698	79.035741	966.4744192913	1208.7680744152	611.0466747007	3.28331386	2.89549614	1.3002564471	53492276	53493276	53491976	53493576	53491676	53493876	1.4675299668
chr7	96199091	96199995		904	0.3705226529	0.7321644439	0.9813798206	0.4314569834	0.7695305508	0.885371	5.94882	50	0.7480955925	0.7323222645	0.7919064629	0.7732969062	0.9856180756	0.9828459905	685.726927	524.690103	753.310879	117.989949968	150.10283324	163.97727047	11.7629662	14.0267837	7.5460534	109.9236467389	120.0583270445	88.2677615266	2.95016582	2.99865418	1.093103266	96199043	96200043	96198743	96200343	96198443	96200643	1.3658133884
chr2	161244399	161245350		951	0.5329041426	0.7791585226	0.9813017858	0.6071601306	0.8391591591	0.689171	7.55792	47	0.7886022553	0.7835425067	0.8485374884	0.8419273498	0.9827485138	0.9822015673	1515.397867	1485.530098	1528.735991	446.969714712	468.878497078	478.239777054	26.971707	28.584633	25.627602	367.3862329527	372.6245981189	352.4813250823	2.72518008	4.83273992	1.452259754	161244374	161245374	161244074	161245674	161243774	161245974	1.2834358748
chr10	103193870	103194806		936	0.3707484425	1.2312131991	0.9812316213	0.4359737748	1.256909667	0.763811	4.8836	47	1.3527449223	1.3184437873	1.3540322225	1.321982989	0.9907540738	0.9880211187	893.3233	723.360103	953.2394858	86.817071498	112.010075164	128.298927002	10.7010138	17.8907597	6.6881341	147.6789877138	157.9633323559	117.4413526386	2.2510679	2.6325321	0.8345799178	103193838	103194838	103193538	103195138	103193238	103195438	0.8122070172
chr2	2846140	2847078		938	0.3574733605	1.1040409274	0.9811672095	0.4215215724	1.0793812312	0.66043	3.60532	47	1.1288161468	1.1191765748	1.1022268375	1.0919339337	0.9824489329	0.9813062609	362.702345	308.031926	372.7124248	64.922782144	75.926321424	78.489149816	6.780263	7.019215	5.406289	84.974960352	86.6552337506	73.2858847775	2.05145036	1.55386964	0.733338854	2846109	2847109	2845809	2847409	2845509	2847709	0.9057635231
chrX	89399557	89400522		965	0.3762833107	1.0085211014	0.9811151953	0.4443291253	1.0224917975	0.953955	7.79931	50	1.0391260242	1.0228659342	1.0354704175	1.0381703349	0.9812017072	0.9812619818	2296.383253	1344.316073	2458.177228	265.643191384	416.57366444	459.57460785	43.0296712	46.4221968	25.2708472	426.0990104388	463.4906896797	276.0367533281	3.5777327	4.2215773	1.3462411053	89399540	89400540	89399240	89400840	89398940	89401140	0.9915508943
chr8	72134121	72135012		891	0.5177450743	0.9791455627	0.9810090322	0.5862364924	1.0241953099	0.693657	6.68023	49	0.9993435964	0.9993925427	1.0471296175	1.0467272917	0.9915524777	0.9876087543	259.22991	211.250711	286.080655	40.784180044	50.614882214	57.525201056	3.2121815	5.4329485	1.7845451	50.5841358329	56.3255453554	40.7574091611	2.39388878	4.28634122	1.2394241244	72134066	72135066	72133766	72135366	72133466	72135666	1.0212986078
chr6	29005186	29006074		888	0.3443553256	1.1997143415	0.9808137753	0.4067879463	1.0705403406	0.716073	3.6083	46	1.2055201282	1.2065927777	1.07865945	1.0772286331	0.9814000333	0.9813867229	1345.720142	1190.050913	1384.882357	201.539427276	222.932167752	230.440051864	25.0482619	26.5706641	22.1349074	268.988343535	276.4622350723	242.9598362007	1.73511416	1.87318584	0.5974958015	29005130	29006130	29004830	29006430	29004530	29006730	0.8335317545
chr2	31811955	31812868		913	0.3875669245	0.791119554	0.9808048504	0.45986462	0.8674900605	1.18856	7.62533	50	0.7842341821	0.7917821239	0.8613060568	0.8684730612	0.9794713416	0.9806678777	1658.444093	1443.679155	1689.877508	295.531227844	330.723246478	337.860399348	32.0612441	32.4374515	29.6367962	261.8607545051	267.2879684377	231.7656907621	4.1109484	3.5143816	1.5932676283	31811912	31812912	31811612	31813212	31811312	31813512	1.2640314539
chr7	134359475	134360438		963	0.4618459985	0.897610887	0.9807804286	0.5319849515	0.9431952214	0.538128	5.44318	46	0.9412335759	0.9084513543	0.9722824445	0.9536935629	0.9819866842	0.9811065998	625.436421	466.922941	714.981283	104.602718062	145.084581784	167.714070522	11.8166206	13.7416338	8.4108304	131.8022848151	150.5419756078	98.4555903725	2.26074394	3.18243606	1.0441155422	134359456	134360456	134359156	134360756	134358856	134361056	1.1140684839
chr2	28355533	28356721		1188	0.3383223939	1.2025367274	0.9806982555	0.3858707006	1.167315185	0.799701	3.56096	55	1.2133542745	1.2135530229	1.1651506128	1.1734525399	0.9813268459	0.9817330565	446.981976	329.759721	477.828168	64.149093648	82.236242004	87.53610512	8.1649945	9.2229172	6.1576541	99.798040075	105.2653813763	77.8355769806	1.75169668	1.80926332	0.5926382141	28355627	28356627	28355327	28356927	28355027	28357227	0.8315754332
chr1	236568141	236569092		951	0.5905082286	0.82052994	0.9806821031	0.6609756397	0.8758887913	0.620596	6.48379	42	0.736188899	0.7911640748	0.8016891444	0.850061768	0.977196134	0.9796502548	5173.65751	3299.96685	6267.5043	956.62608714	1382.13211492	1584.3653907	105.282612	121.075002	75.252002	1093.4932759514	1300.019238914	704.2575058485	2.5155091	3.9682809	1.4854288226	236568116	236569116	236567816	236569416	236567516	236569716	1.2187245721
chrX	10007366	10008364		998	0.3241292583	1.2162470736	0.9806413584	0.3821777153	1.2633197908	1.06921	5.2397	50	1.2140585084	1.2265252784	1.2591504407	1.27187919	0.9820901246	0.9816430004	1234.19134	1001.266459	1273.978366	151.38113091	183.206669258	191.325441006	22.6560499	24.6624906	17.9325575	224.7076110116	232.6990077352	183.7855499983	2.9366652	2.3030348	0.9518591131	10007365	10008365	10007065	10008665	10006765	10008965	0.8222013616
chr15	65217761	65218677		916	0.3892646642	0.7432447341	0.9805475207	0.4621187389	0.8019071685	0.795688	5.07073	48	0.7411326163	0.745574046	0.7987452512	0.8037585834	0.9814995904	0.9813192954	1787.88095	1613.25091	1809.348408	423.376419614	464.651268604	469.693913512	33.3988758	35.1963125	29.8458027	346.4319263347	349.0975278594	313.7780735448	2.59147576	2.47925424	1.0087699416	65217719	65218719	65217419	65219019	65217119	65219319	1.3454518466
chr21	14273539	14274529		990	0.3941252423	0.8011668413	0.9804535354	0.4634075884	0.8508281032	0.799135	6.75578	49	0.7825860686	0.7993033115	0.8472191661	0.8531715402	0.984054283	0.98340291	4208.521597	3649.05334	4807.431909	1034.994416814	1258.565849578	1475.650898748	69.8492118	93.9682975	58.1867717	1005.9758512493	1182.2425694205	809.972211659	3.2679149	3.4878651	1.2879677519	14273534	14274534	14273234	14274834	14272934	14275134	1.2481794658
chr2	38076397	38077432		1035	0.3698915454	0.7771748363	0.9803545852	0.431324932	0.8378198886	0.58682	2.84926	50	0.7663981333	0.7681700418	0.8297793026	0.8296662032	0.9775862369	0.9782108	790.115774	533.829347	987.118488	128.970825658	194.153164052	235.719449968	17.2159906	19.3923522	11.9651245	149.142644155	183.1952249353	98.8430000398	1.54955294	1.29970706	0.5731665317	38076414	38077414	38076114	38077714	38075814	38078014	1.2867117582
chr9	34989078	34990075		997	0.3176263402	0.6335001691	0.9803391831	0.3721395002	0.7128900501	0.859287	3.57775	50	0.7828043174	0.7466414781	0.8525528676	0.8284955673	0.9925440874	0.9895364465	7.9897905	5.6063962	8.5043872	1.259196576	1.662923998	2.078135786	0.0836016	0.1672032	0.0418008	1.2416080319	1.3164993719	0.9857045162	2.25249694	1.32525306	0.7154523594	34989076	34990076	34988776	34990376	34988476	34990676	1.5785315438
chr8	2127226	2128075		849	0.6090105177	0.8706614915	0.9803340629	0.6817031173	0.9096417015	2.03486	32.4411	50	0.8860930351	0.8758922101	0.9217544988	0.9139820679	0.981793844	0.9813245063	411.1922504	397.411349	413.0545355	109.845584572	114.660793412	115.625937856	7.6792183	8.1231045	7.235333	100.4304957556	100.6710515107	97.333407429	9.543703	22.897397	5.8122155047	2127150	2128150	2126850	2128450	2126550	2128750	1.148552003
chr8	122595564	122596491		927	0.4862138518	1.3479497405	0.9802341728	0.5610335782	1.3007365234	0.6263	3.9321	43	1.405379594	1.3746379382	1.3456348652	1.3207058955	0.9841140549	0.98191096	456.840047	416.156494	469.648916	55.357435776	65.442582404	69.02613607	8.2637979	9.2829993	6.6110392	89.9598565438	93.0437622043	77.7982106152	1.8368165	2.0952835	0.8930856254	122595528	122596528	122595228	122596828	122594928	122597128	0.7418674228
chr6	133947064	133948126		1062	0.4264784988	1.0500792095	0.9801537227	0.4931216818	1.0480069097	0.758272	5.55873	49	1.2066854869	1.1402052372	1.1803460462	1.123841005	0.989831259	0.991827244	79.746587	59.163155	85.8889038	11.81538544	16.974233366	19.580573772	0.6517494	1.704575	0.6016148	19.354109782	20.5611534288	14.2574541331	2.199287	3.359443	0.9379486182	133947095	133948095	133946795	133948395	133946495	133948695	0.9523091124
chr4	168486715	168487618		903	0.9160153829	1.5793649687	0.9801085756	0.9835393513	1.591768308	0.525898	8.97198	36	1.8167997981	1.6800275485	1.781216095	1.6719681723	0.9914120015	0.9819072989	163.437785	142.59772	169.6810113	11.373221692	14.295951956	15.757435962	2.957031	3.375197	1.224629	24.0175931185	24.8867423543	20.6628668737	1.52643954	7.44554046	1.3982420997	168486666	168487666	168486366	168487966	168486066	168488266	0.6331658735
chr6	119312626	119313497		871	0.3782294526	1.0314933096	0.9800884106	0.4364168197	1.1067134137	0.514572	2.69616	33	0.9942920587	0.9903360299	1.0652562276	1.0659659284	0.9764141312	0.9782310986	930.836878	751.018895	1250.622506	137.721464122	171.612097732	229.142240394	20.2632962	24.9018818	17.7134331	169.9536435524	236.3586879142	136.9353580906	1.17769728	1.51846272	0.4454397975	119312562	119313562	119312262	119313862	119311962	119314162	0.9694682367
chr1	23539485	23540401		916	0.4315239456	0.9341516768	0.9800564499	0.5055973721	0.9875937267	0.626604	6.05079	49	0.9473287678	0.9446941031	0.9890233479	0.9940690655	0.979599941	0.9803385394	712.2198299	629.05978	731.4893599	105.841250922	119.053165936	123.625430628	14.0032821	14.5884947	12.8328566	112.4688238095	115.4849033133	100.2664618133	3.01174082	3.03904918	1.2996382817	23539443	23540443	23539143	23540743	23538843	23541043	1.0704899695
